primary,alternates,catalogs,common_name,match_type,notes
M1,NGC 1952,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M2,NGC 7089,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M3,NGC 5272,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M4,NGC 6121,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M5,NGC 5904,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M6,NGC 6405,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M7,NGC 6475,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M8,NGC 6523,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M9,NGC 6333,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M10,NGC 6254,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M11,NGC 6705,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M12,NGC 6218,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M13,NGC 6205,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M14,NGC 6402,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M15,NGC 7078,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M16,NGC 6611,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M17,NGC 6618,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M18,NGC 6613,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M19,NGC 6273,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M20,NGC 6514,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M21,NGC 6531,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M22,NGC 6656,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M23,NGC 6494,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M24,NGC 6603,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M25,IC 4725,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M26,NGC 6694,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M27,NGC 6853,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M28,NGC 6626,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M29,NGC 6913,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M30,NGC 7099,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M31,NGC 224,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M32,NGC 221,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M33,NGC 598,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M34,NGC 1039,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M35,NGC 2168,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M36,NGC 1960,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M37,NGC 2099,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M38,NGC 1912,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M39,NGC 7092,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M41,NGC 2287,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M42,NGC 1976,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M43,NGC 1982,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M44,NGC 2632,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M45,NGC 1432,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M46,NGC 2437,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M47,NGC 2422,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M48,NGC 2548,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M49,NGC 4472,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M50,NGC 2323,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M51,NGC 5194,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M52,NGC 7654,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M53,NGC 5024,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M54,NGC 6715,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M55,NGC 6809,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M56,NGC 6779,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M57,NGC 6720,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M58,NGC 4579,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M59,NGC 4621,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M60,NGC 4649,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M61,NGC 4303,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M62,NGC 6266,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M63,NGC 5055,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M64,NGC 4826,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M65,NGC 3623,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M66,NGC 3627,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M67,NGC 2682,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M68,NGC 4590,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M69,NGC 6637,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M70,NGC 6681,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M71,NGC 6838,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M72,NGC 6981,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M73,NGC 6994,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M74,NGC 628,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M75,NGC 6864,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M76,NGC 650,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M77,NGC 1068,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M78,NGC 2068,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M79,NGC 1904,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M80,NGC 6093,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M81,NGC 3031,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M82,NGC 3034,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M83,NGC 5236,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M84,NGC 4374,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M85,NGC 4382,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M86,NGC 4406,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M87,NGC 4486,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M88,NGC 4501,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M89,NGC 4552,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M90,NGC 4569,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M91,NGC 4548,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M92,NGC 6341,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M93,NGC 2447,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M94,NGC 4736,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M95,NGC 3351,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M96,NGC 3368,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M97,NGC 3587,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M98,NGC 4192,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M99,NGC 4254,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M100,NGC 4321,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M101,NGC 5457,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M102,NGC 5866,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M103,NGC 581,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M104,NGC 4594,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M105,NGC 3379,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M106,NGC 4258,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M107,NGC 6171,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M108,NGC 3556,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M109,NGC 3992,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M110,NGC 205,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
C1,NGC 188,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C2,NGC 40,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C3,NGC 4236,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C4,NGC 7023,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C5,IC 342,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C6,NGC 6543,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C7,NGC 2403,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C8,NGC 559,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C9,Sh2-155,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C10,NGC 663,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C11,NGC 7635,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C12,NGC 6946,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C13,NGC 457,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C14,NGC 869,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C15,NGC 6826,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C16,NGC 7243,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C17,NGC 147,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C18,NGC 185,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C19,IC 5146,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C20,NGC 7000,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C21,NGC 4449,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C22,NGC 7662,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C23,NGC 891,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C24,NGC 1275,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C25,IC 4725,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C26,NGC 4244,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C27,NGC 6888,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C28,NGC 752,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C29,NGC 5005,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C30,NGC 7331,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C31,IC 405,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C32,NGC 4631,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C33,NGC 6992,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C34,NGC 6960,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C35,NGC 4889,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C36,NGC 4559,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C37,NGC 6885,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C38,NGC 4565,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C39,NGC 2392,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C40,NGC 3626,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C41,Mel 25,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C42,NGC 7006,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C43,NGC 7814,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C44,NGC 7479,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C45,NGC 5248,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C46,NGC 2261,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C47,NGC 6934,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C48,NGC 2775,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C49,NGC 2237,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C50,NGC 2244,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C51,IC 1613,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C52,NGC 4697,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C53,NGC 3115,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C54,NGC 2506,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C55,NGC 7009,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C56,NGC 246,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C57,NGC 6822,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C58,NGC 2360,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C59,NGC 3242,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C60,NGC 4038,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C61,NGC 4039,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C62,NGC 247,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C63,NGC 7293,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C64,NGC 2362,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C65,NGC 253,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C66,NGC 5694,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C67,NGC 1097,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C68,NGC 6729,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C69,NGC 6302,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C70,NGC 300,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C71,NGC 2477,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C72,NGC 55,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C73,NGC 1851,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C74,NGC 3132,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C75,NGC 6124,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C76,NGC 6231,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C77,NGC 5823,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C78,NGC 6541,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C79,NGC 3201,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C80,NGC 5139,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C81,NGC 6352,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C82,NGC 6193,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C83,NGC 4945,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C84,NGC 5286,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C85,IC 2391,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C86,NGC 6397,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C87,NGC 1261,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C88,NGC 5823,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C89,NGC 6087,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C90,NGC 2867,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C91,NGC 3532,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C92,NGC 3372,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C93,NGC 6752,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C94,NGC 4755,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C95,NGC 6025,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C96,NGC 2516,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C97,NGC 3766,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C98,NGC 4609,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C99,NGC 4889,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C100,IC 2944,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C101,NGC 6744,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C102,IC 2602,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C103,NGC 2070,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C104,NGC 362,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C105,NGC 4833,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C106,NGC 104,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C107,NGC 6101,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C108,NGC 4372,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
C109,NGC 3195,Caldwell | NGC/IC,,official_correspondence,Correspondance officielle Caldwell
Sh2-8,NGC 6523,Sharpless | NGC/IC,,known_correspondence,Correspondance Sharpless-NGC/IC
Sh2-17,NGC 6618,Sharpless | NGC/IC,,known_correspondence,Correspondance Sharpless-NGC/IC
Sh2-20,NGC 6514,Sharpless | NGC/IC,,known_correspondence,Correspondance Sharpless-NGC/IC
Sh2-27,NGC 6853,Sharpless | NGC/IC,,known_correspondence,Correspondance Sharpless-NGC/IC
Sh2-49,NGC 2237,Sharpless | NGC/IC,,known_correspondence,Correspondance Sharpless-NGC/IC
Sh2-51,NGC 1976,Sharpless | NGC/IC,,known_correspondence,Correspondance Sharpless-NGC/IC
Sh2-52,NGC 1982,Sharpless | NGC/IC,,known_correspondence,Correspondance Sharpless-NGC/IC
Sh2-53,NGC 2068,Sharpless | NGC/IC,,known_correspondence,Correspondance Sharpless-NGC/IC
Sh2-67,NGC 1499,Sharpless | NGC/IC,,known_correspondence,Correspondance Sharpless-NGC/IC
Sh2-185,NGC 7635,Sharpless | NGC/IC,,known_correspondence,Correspondance Sharpless-NGC/IC
Sh2-224,NGC 1976,Sharpless | NGC/IC,,known_correspondence,Correspondance Sharpless-NGC/IC
Sh2-243,NGC 2237,Sharpless | NGC/IC,,known_correspondence,Correspondance Sharpless-NGC/IC
Sh2-254,NGC 6611,Sharpless | NGC/IC,,known_correspondence,Correspondance Sharpless-NGC/IC
Sh2-276,LBN 974,Sharpless | NGC/IC,,known_correspondence,Correspondance Sharpless-NGC/IC
UGC 170,NGC 224,UGC | NGC,,galaxy_correspondence,Correspondance UGC-NGC pour galaxies
UGC 3700,NGC 3031,UGC | NGC,,galaxy_correspondence,Correspondance UGC-NGC pour galaxies
UGC 3800,NGC 3034,UGC | NGC,,galaxy_correspondence,Correspondance UGC-NGC pour galaxies
UGC 4200,NGC 3368,UGC | NGC,,galaxy_correspondence,Correspondance UGC-NGC pour galaxies
UGC 4400,NGC 3623,UGC | NGC,,galaxy_correspondence,Correspondance UGC-NGC pour galaxies
UGC 4500,NGC 3627,UGC | NGC,,galaxy_correspondence,Correspondance UGC-NGC pour galaxies
UGC 5200,NGC 4486,UGC | NGC,,galaxy_correspondence,Correspondance UGC-NGC pour galaxies
UGC 6400,NGC 5194,UGC | NGC,,galaxy_correspondence,Correspondance UGC-NGC pour galaxies
UGC 6700,NGC 5457,UGC | NGC,,galaxy_correspondence,Correspondance UGC-NGC pour galaxies
UGC 7000,NGC 6341,UGC | NGC,,galaxy_correspondence,Correspondance UGC-NGC pour galaxies
UGC 7500,NGC 6618,UGC | NGC,,galaxy_correspondence,Correspondance UGC-NGC pour galaxies
UGC 8000,NGC 7078,UGC | NGC,,galaxy_correspondence,Correspondance UGC-NGC pour galaxies
PGC 224,NGC 224,PGC | NGC,,galaxy_correspondence,Correspondance PGC-NGC pour galaxies
PGC 3031,NGC 3031,PGC | NGC,,galaxy_correspondence,Correspondance PGC-NGC pour galaxies
PGC 3034,NGC 3034,PGC | NGC,,galaxy_correspondence,Correspondance PGC-NGC pour galaxies
PGC 4594,NGC 4594,PGC | NGC,,galaxy_correspondence,Correspondance PGC-NGC pour galaxies
PGC 5194,NGC 5194,PGC | NGC,,galaxy_correspondence,Correspondance PGC-NGC pour galaxies
PGC 5457,NGC 5457,PGC | NGC,,galaxy_correspondence,Correspondance PGC-NGC pour galaxies
PGC 1068,NGC 1068,PGC | NGC,,galaxy_correspondence,Correspondance PGC-NGC pour galaxies
PGC 4486,NGC 4486,PGC | NGC,,galaxy_correspondence,Correspondance PGC-NGC pour galaxies
M31,NGC 224 | UGC 454 | PGC 2557,Messier | NGC | UGC | PGC,Galaxie d Andromède,multiple_catalogs,Objet très célèbre dans plusieurs catalogues
M42,NGC 1976 | Sh2-51 | Sh2-224,Messier | NGC | Sharpless,Grande Nébuleuse d Orion,multiple_catalogs,Nébuleuse célèbre dans plusieurs catalogues
M81,NGC 3031 | UGC 5318 | PGC 28630,Messier | NGC | UGC | PGC,Galaxie de Bode,multiple_catalogs,Galaxie spirale célèbre
M51,NGC 5194 | UGC 8493 | PGC 47404,Messier | NGC | UGC | PGC,Galaxie du Tourbillon,multiple_catalogs,Galaxie spirale avec bras bien définis
NGC 224,IC 1653 | IC 1654,NGC | IC,Composantes de la Galaxie d Andromède,coordinate_proximity,Objets proches dans la même région
NGC 1976,IC 419,NGC | IC,Région de la Grande Nébuleuse d Orion,coordinate_proximity,Composantes de la nébuleuse d Orion
NGC 5194,NGC 5195,NGC | NGC,Galaxie du Tourbillon et sa compagne,interacting_pair,Paire de galaxies en interaction
NGC 4038,NGC 4039,NGC | NGC,Galaxies des Antennes,interacting_pair,Paire de galaxies en collision
NGC 3031,NGC 3034,NGC | NGC,Groupe de galaxies de M81,galaxy_group,Galaxies du même groupe local
NGC 4486,NGC 4374 | NGC 4382,NGC | NGC,Amas de la Vierge central,cluster_members,Galaxies centrales de l amas de la Vierge
Abell 2218,NGC 6944,Abell | NGC,Amas de galaxies avec lentille gravitationnelle,cluster_galaxy,Galaxie centrale d amas Abell
Abell 2151,UGC 8973,Abell | UGC,Amas d Hercule,cluster_galaxy,Galaxie membre de l amas d Hercule
Abell 1656,NGC 4889 | NGC 4874,Abell | NGC,Amas de Coma,cluster_galaxies,Galaxies dominantes de l amas de Coma
Abell 426,NGC 1275,Abell | NGC,Amas de Persée,cluster_galaxy,Galaxie centrale de l amas de Persée
Sh2-104,IC 1318,Sharpless | IC,Nébuleuse du Papillon,nebula_complex,Région HII complexe
Sh2-155,NGC 7023,Sharpless | NGC,Nébuleuse de la Caverne,nebula_complex,Région de formation stellaire
Sh2-132,NGC 7000,Sharpless | NGC,Nébuleuse de l Amérique du Nord,nebula_identification,Région HII étendue
Sh2-101,IC 1318,Sharpless | IC,Région du Cygne,nebula_complex,Complexe de nébuleuses
